Draw,Update
0.00761097,6.53743e-006
0.00656965,7.00439e-006
0.00653136,6.53743e-006
0.00660001,1.07401e-005
0.00651782,1.1207e-005
0.00654164,7.47135e-006
0.0065323,7.00439e-006
0.00655658,6.53743e-006
0.00658366,7.93831e-006
0.00650708,7.00439e-006
0.00660047,9.80615e-006
0.00650521,1.1674e-005
0.00652436,1.07401e-005
0.00652389,1.02731e-005
0.00648934,9.80615e-006
0.00650054,7.47135e-006
0.00669433,1.21409e-005
0.00652389,1.1674e-005
0.00658273,7.00439e-006
0.00651595,7.00439e-006
0.00652576,1.02731e-005
0.00652062,1.07401e-005
0.0065407,1.07401e-005
0.00650195,6.07047e-006
0.0065421,1.07401e-005
0.0065309,1.02731e-005
0.00669527,7.47135e-006
0.00671861,1.21409e-005
0.00652436,1.07401e-005
0.00654771,7.00439e-006
0.0066439,1.07401e-005
0.00665791,7.00439e-006
0.00650615,2.84845e-005
0.00649027,1.07401e-005
0.0065379,6.53743e-006
0.00657199,6.53743e-006
0.00676718,7.47135e-006
0.007858,8.40527e-006
0.00774546,1.77445e-005
0.00534949,1.91453e-005
0.00521594,2.00793e-005
0.00506838,3.54889e-005
0.00672375,2.10132e-005
0.00593039,2.10132e-005
0.00526637,3.64228e-005
0.0051599,3.22202e-005
0.0050539,2.89515e-005
0.00503616,1.82114e-005
0.00508472,3.5022e-005
0.00506558,4.15594e-005
0.00502542,1.91453e-005
0.0050413,0.000187718
0.00505063,0.000212934
0.00502308,2.24141e-005
0.0050427,1.86784e-005
0.00505717,3.12863e-005
0.00503289,3.08193e-005
0.00502682,2.05462e-005
0.00505437,3.96916e-005
0.00531073,3.17533e-005
0.00503849,3.08193e-005
0.00503336,3.12863e-005
0.0050511,2.98854e-005
0.00507352,3.08193e-005
0.0050553,3.12863e-005
0.00504083,2.05462e-005
0.00521921,2.94185e-005
0.00503989,1.72775e-005
0.00505717,3.17533e-005
0.00504083,3.12863e-005
0.00504316,2.98854e-005
0.00502122,3.03524e-005
0.00502635,3.12863e-005
0.00544895,3.22202e-005
0.00548351,3.08193e-005
0.0050455,3.17533e-005
0.00504783,3.12863e-005
0.00511834,3.08193e-005
0.00506091,1.86784e-005
0.00531587,3.17533e-005
0.00505204,3.26872e-005
0.00503149,3.12863e-005
0.00503989,2.98854e-005
0.00502635,3.17533e-005
0.00506791,3.12863e-005
0.00505297,3.31541e-005
0.00503989,3.08193e-005
0.00504036,2.84845e-005
0.00503896,2.89515e-005
0.00502822,3.12863e-005
0.0050553,2.00793e-005
0.00507211,2.00793e-005
0.0051006,2.98854e-005
0.00555775,1.86784e-005
0.00513515,2.24141e-005
0.0052673,2.14801e-005
0.00514356,3.64228e-005
0.00509406,3.31541e-005
0.0050964,0.000162502
0.00505157,3.12863e-005
0.00504737,3.31541e-005
0.00505344,2.89515e-005
0.00506371,2.98854e-005
0.00516364,1.96123e-005
0.00506231,3.36211e-005
0.00505017,2.05462e-005
0.00513282,3.17533e-005
0.00511834,3.12863e-005
0.00505297,3.22202e-005
0.0050539,3.40881e-005
0.00505437,3.31541e-005
0.00507305,3.03524e-005
0.00506931,2.98854e-005
0.00507258,3.08193e-005
0.00534482,2.3348e-005
0.00544755,2.3348e-005
0.00543728,2.19471e-005
0.00575014,2.24141e-005
0.00584914,3.96916e-005
0.00546483,4.06255e-005
0.00543634,2.24141e-005
0.00545129,3.64228e-005
0.00544288,4.15594e-005
0.00545829,3.78237e-005
0.00544428,3.78237e-005
0.00544475,2.98854e-005
0.00544241,4.6696e-005
0.0054695,3.68898e-005
0.00549938,3.78237e-005
0.00544942,4.48281e-005
0.00544522,2.52158e-005
0.0056376,2.19471e-005
0.00551292,3.78237e-005
0.00548911,0.000298854
0.00555635,9.66606e-005
0.00546436,4.10924e-005
0.00546529,4.10924e-005
0.00550826,4.06255e-005
0.00544522,4.20264e-005
0.00546996,5.18325e-005
0.00546623,4.15594e-005
0.00546856,0.00033014
0.00554094,5.37004e-005
0.0055839,4.48281e-005
0.00558764,4.6696e-005
0.00557176,5.46343e-005
0.00601771,5.22995e-005
0.00563153,4.71629e-005
0.00575061,6.25726e-005
0.00559044,0.00036096
0.00555308,3.73568e-005
0.00585521,3.31541e-005
0.00574967,3.36211e-005
0.00575201,3.22202e-005
0.00572959,5.51012e-005
0.0055741,5.69691e-005
0.00554655,5.41673e-005
0.00558997,0.000333876
0.00560445,3.03524e-005
0.00554608,6.44404e-005
0.00552833,5.55682e-005
0.0055204,6.44404e-005
0.00553347,5.51012e-005
0.00555028,3.17533e-005
0.00587575,0.00137053
0.00616433,0.000437074
0.00611484,0.000182581
0.0063203,0.000100396
0.00625679,0.000134951
0.00616247,0.000132617
0.00613305,0.000168105
0.0061153,0.000134951
0.00609009,0.000133083
0.00609289,0.00165677
0.00665651,0.000198458
0.00679753,0.000201727
0.00666258,0.000210132
0.00667052,0.00043614
0.00665698,0.000217136
0.00665137,0.000445012
0.00670834,0.00170767
0.0072276,0.000633664
0.00721733,0.00166518
0.00778655,0.000338079
0.00775573,0.000444546
0.00775713,0.000342281
0.00775433,0.000347418
0.00790142,0.000342281
0.00775013,0.000337145
0.00811716,0.000538871
0.00817693,0.000353021
0.0080784,0.000345083
0.00806299,0.000357691
0.0082381,0.000349753
0.00806112,0.000341347
0.00809288,0.000345083
0.00804385,0.000390845
0.00806533,0.00313003
0.00920284,0.000490308
0.00918043,0.000451083
0.00918369,0.000492175
0.00917062,0.000490308
0.00918743,0.000480968
0.00916688,0.000483303
0.0091482,0.000490308
0.00930931,0.00104973
0.00911832,0.000485638
0.00909917,0.000511321
0.00910524,0.000469294
0.00908983,0.000482836
0.00913093,0.00195469
0.00963711,0.000655144
0.00962217,0.00182301
0.0101825,0.000622924
0.0102054,0.000627127
0.0101942,0.000786827
0.0101671,0.000619655
0.010169,0.000819981
0.010282,0.000619188
0.0100882,0.000620122
0.0099906,0.000627594
0.00997566,0.0005851
0.00991449,0.000614052
0.009879,0.000628528
0.00984024,0.00187858
0.0102857,0.000695303
0.0103081,0.00213587
0.0106714,0.000709312
0.010607,0.000837725
0.0105594,0.000677558
0.0105047,0.000682228
0.0104898,0.000672889
0.0104365,0.000679893
0.0103371,0.00067569
0.0102203,0.000685964
0.0100728,0.000681761
0.00999901,0.000683162
0.00996445,0.000692034
0.00981362,0.000610316
0.00972443,0.000616387
0.00965672,0.000624792
0.00960909,0.000624325
0.00947368,0.000603779
0.00938122,0.000607981
0.00933872,0.00056829
0.00927662,0.000553347
0.00931071,0.000489374
0.00921031,0.00048377
0.00918556,0.000474898
0.00914587,0.000493109
0.0090805,0.000478634
0.00900812,0.000482836
0.00893434,0.000478634
0.00884608,0.000478634
0.00888858,0.000452951
0.00884095,0.000471162
0.00863782,0.000479567
0.00859439,0.000479567
0.00846691,0.000480968
0.00872794,0.00044688
0.00830254,0.000474898
0.00819841,0.000352088
0.00817786,0.000349753
0.00812136,0.000333409
0.0084006,0.000336678
0.00828106,0.000339013
0.00820728,0.000358625
0.00812043,0.000354422
0.00806486,0.000350687
0.00893247,0.000339013
0.00793691,0.000344616
0.00784165,0.000361427
0.00775947,0.000354422
0.0076983,0.000360026
0.00761378,0.000289982
0.00756008,0.000277841
0.00749657,0.000221806
0.00747416,0.000217603
0.00737049,0.00018118
0.00731586,0.00021807
0.00727383,0.000207797
0.00716643,0.000201727
0.00711133,0.000216669
0.00699972,0.000210599
0.00692174,0.000220872
0.00684096,0.000225541
0.00674476,0.000221806
0.006699,0.000213867
0.00660888,0.000149894
0.00657759,0.000143357
0.00667986,6.49074e-005
0.00656872,8.0784e-005
0.00665744,7.75153e-005
0.00655424,6.911e-005
0.00655098,3.73568e-005
